Red,Green,Blue
0.185,0.296,0.519
0.185,0.296,0.519
0.172,0.310,0.517
0.172,0.310,0.517
0.172,0.310,0.517
0.161,0.323,0.516
0.176,0.324,0.500
0.176,0.324,0.500
0.156,0.344,0.500
0.179,0.321,0.500
0.185,0.296,0.519
0.179,0.286,0.536
0.185,0.296,0.519
0.200,0.280,0.520
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.179,0.286,0.536
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.185,0.296,0.519
0.200,0.280,0.520
0.192,0.269,0.538
0.185,0.296,0.519
0.185,0.296,0.519
0.192,0.269,0.538
0.200,0.280,0.520
0.192,0.269,0.538
0.192,0.269,0.538
0.200,0.280,0.520
0.200,0.280,0.520
0.192,0.269,0.538
0.200,0.280,0.520
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.200,0.280,0.520
0.192,0.269,0.538
0.192,0.269,0.538
0.192,0.269,0.538
0.200,0.280,0.520
0.192,0.269,0.538
0.192,0.269,0.538
0.200,0.280,0.520
0.200,0.280,0.520
0.200,0.280,0.520
0.192,0.269,0.538
0.200,0.280,0.520
0.208,0.250,0.542
0.208,0.250,0.542
0.192,0.269,0.538
0.192,0.269,0.538
0.208,0.250,0.542
0.208,0.250,0.542
0.200,0.280,0.520
0.200,0.280,0.520
0.208,0.250,0.542
0.208,0.250,0.542
0.200,0.280,0.520
0.200,0.280,0.520
0.208,0.250,0.542
0.208,0.250,0.542
0.208,0.250,0.542
0.200,0.280,0.520
0.208,0.250,0.542
0.217,0.261,0.522
0.217,0.261,0.522
0.208,0.250,0.542
0.217,0.261,0.522
0.182,0.273,0.545
0.217,0.261,0.522
0.227,0.273,0.500
0.156,0.312,0.531
0.190,0.286,0.524
0.182,0.273,0.545
0.200,0.280,0.520
0.185,0.296,0.519
0.167,0.292,0.542
0.182,0.273,0.545
0.182,0.273,0.545
0.182,0.273,0.545
0.182,0.273,0.545
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.211,0.316,0.474
0.211,0.316,0.474
0.222,0.278,0.500
0.222,0.278,0.500
0.211,0.316,0.474
0.200,0.300,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.211,0.316,0.474
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.222,0.278,0.500
0.235,0.294,0.471
0.222,0.278,0.500
0.222,0.278,0.500
0.211,0.316,0.474
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.211,0.316,0.474
0.211,0.316,0.474
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.235,0.294,0.471
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.222,0.278,0.500
0.200,0.300,0.500
0.211,0.263,0.526
0.211,0.263,0.526
0.190,0.286,0.524
0.174,0.261,0.565
0.182,0.273,0.545
0.190,0.286,0.524
0.211,0.263,0.526
0.200,0.300,0.500
0.200,0.300,0.500
0.222,0.278,0.500
0.412,0.294,0.294
0.447,0.319,0.234
0.480,0.333,0.187
0.500,0.331,0.169
0.436,0.375,0.189
0.365,0.427,0.208
0.357,0.357,0.285
0.373,0.332,0.295
0.351,0.343,0.306
0.368,0.319,0.313
0.405,0.255,0.339
0.402,0.231,0.367
0.368,0.223,0.409
0.381,0.219,0.400
0.403,0.266,0.331
0.450,0.286,0.264
0.468,0.273,0.259
0.418,0.303,0.279
0.354,0.405,0.241
0.377,0.425,0.199
0.390,0.355,0.255
0.497,0.264,0.240
0.382,0.302,0.316
0.337,0.315,0.347
0.323,0.311,0.365
0.304,0.244,0.452
0.280,0.291,0.429
0.276,0.249,0.475
0.291,0.352,0.358
0.320,0.218,0.463
0.389,0.293,0.318
0.464,0.259,0.277
0.499,0.259,0.242
0.501,0.266,0.233
0.460,0.309,0.231
0.377,0.340,0.283
0.319,0.335,0.346
0.338,0.343,0.319
0.353,0.306,0.341
0.333,0.304,0.362
0.313,0.276,0.411
0.327,0.220,0.453
0.377,0.255,0.367
0.435,0.298,0.267
0.399,0.318,0.284
0.383,0.325,0.291
0.389,0.339,0.271
0.477,0.268,0.255
0.430,0.318,0.252
0.344,0.363,0.293
0.325,0.348,0.326
0.331,0.344,0.325
0.342,0.342,0.316
0.351,0.308,0.340
0.350,0.295,0.355
0.327,0.309,0.364
0.384,0.302,0.314
0.416,0.300,0.285
0.330,0.366,0.304
0.432,0.381,0.187
0.397,0.413,0.190
0.458,0.318,0.224
0.426,0.319,0.255
0.359,0.338,0.302
0.351,0.326,0.324
0.329,0.354,0.317
0.344,0.323,0.333
0.367,0.320,0.313
0.355,0.330,0.315
0.354,0.341,0.305
0.348,0.343,0.309
0.348,0.338,0.313
0.338,0.334,0.327
0.339,0.347,0.314
0.349,0.335,0.317
0.352,0.325,0.323
0.353,0.322,0.325
0.363,0.310,0.327
0.371,0.306,0.322
0.380,0.301,0.319
0.378,0.302,0.320
0.390,0.308,0.302
0.373,0.322,0.305
0.372,0.319,0.309
0.358,0.328,0.314
0.373,0.325,0.302
0.364,0.330,0.306
0.348,0.315,0.336
0.350,0.332,0.318
0.386,0.342,0.272
0.409,0.344,0.248
0.403,0.355,0.242
0.371,0.335,0.294
0.373,0.314,0.313
0.373,0.306,0.321
0.383,0.297,0.320
0.392,0.309,0.300
0.356,0.334,0.310
0.353,0.328,0.319
0.288,0.310,0.402
0.274,0.295,0.431
0.322,0.300,0.379
0.406,0.307,0.287
0.501,0.264,0.235
0.496,0.260,0.244
0.443,0.314,0.243
0.407,0.351,0.241
0.367,0.330,0.303
0.367,0.306,0.327
0.370,0.305,0.324
0.375,0.299,0.326
0.393,0.309,0.298
0.362,0.333,0.305
0.362,0.327,0.311
0.325,0.335,0.341
0.320,0.294,0.387
0.344,0.304,0.351
0.466,0.270,0.264
0.442,0.296,0.262
0.456,0.286,0.257
0.452,0.293,0.255
0.351,0.353,0.296
0.352,0.333,0.315
0.337,0.347,0.316
0.331,0.341,0.328
0.335,0.329,0.336
0.336,0.325,0.338
0.335,0.329,0.336
0.339,0.331,0.330
0.326,0.335,0.340
0.435,0.294,0.271
0.337,0.340,0.323
0.318,0.358,0.325
0.420,0.297,0.282
0.453,0.256,0.290
