Red,Green,Blue
0.502,0.286,0.211
0.502,0.287,0.211
0.502,0.287,0.211
0.501,0.288,0.211
0.501,0.287,0.212
0.500,0.288,0.212
0.500,0.288,0.212
0.500,0.289,0.211
0.500,0.290,0.210
0.500,0.291,0.210
0.500,0.291,0.209
0.500,0.291,0.209
0.500,0.291,0.209
0.499,0.293,0.208
0.497,0.295,0.208
0.494,0.297,0.209
0.485,0.302,0.213
0.472,0.303,0.225
0.460,0.302,0.238
0.447,0.301,0.252
0.437,0.302,0.262
0.430,0.301,0.269
0.423,0.300,0.277
0.417,0.299,0.284
0.412,0.298,0.290
0.408,0.298,0.294
0.406,0.300,0.294
0.407,0.301,0.291
0.410,0.302,0.288
0.411,0.303,0.286
0.413,0.303,0.283
0.415,0.303,0.282
0.418,0.303,0.279
0.417,0.304,0.279
0.417,0.305,0.278
0.420,0.304,0.276
0.425,0.302,0.273
0.430,0.300,0.269
0.436,0.298,0.266
0.437,0.297,0.266
0.437,0.298,0.266
0.437,0.298,0.266
0.436,0.299,0.265
0.436,0.299,0.264
0.439,0.299,0.262
0.442,0.299,0.259
0.445,0.299,0.256
0.447,0.299,0.254
0.448,0.300,0.252
0.441,0.300,0.258
0.429,0.302,0.270
0.415,0.307,0.278
0.431,0.321,0.247
0.435,0.262,0.303
0.410,0.282,0.308
0.437,0.268,0.295
0.470,0.275,0.255
0.472,0.299,0.229
0.456,0.309,0.235
0.472,0.291,0.236
0.456,0.265,0.279
0.436,0.282,0.282
0.416,0.308,0.275
0.473,0.255,0.272
0.487,0.271,0.242
0.391,0.386,0.223
0.358,0.389,0.252
0.367,0.356,0.278
0.361,0.323,0.316
0.353,0.314,0.333
0.352,0.305,0.342
0.350,0.304,0.346
0.348,0.303,0.349
0.348,0.300,0.353
0.350,0.300,0.350
0.352,0.301,0.347
0.349,0.303,0.348
0.347,0.305,0.348
0.349,0.303,0.349
0.373,0.287,0.340
0.398,0.274,0.328
0.395,0.280,0.325
0.386,0.291,0.323
0.383,0.298,0.319
0.395,0.301,0.304
0.403,0.313,0.284
0.394,0.341,0.265
0.392,0.360,0.249
0.408,0.362,0.230
0.423,0.357,0.220
0.433,0.351,0.215
0.424,0.359,0.217
0.388,0.381,0.231
0.361,0.395,0.244
0.339,0.415,0.246
0.333,0.427,0.241
0.339,0.430,0.230
0.354,0.427,0.219
0.375,0.413,0.211
0.394,0.397,0.209
0.417,0.372,0.211
0.438,0.346,0.216
0.453,0.324,0.223
0.467,0.305,0.228
0.468,0.302,0.230
0.471,0.300,0.229
0.460,0.314,0.225
0.433,0.348,0.220
0.407,0.377,0.216
0.394,0.391,0.215
0.390,0.394,0.216
0.385,0.398,0.217
0.378,0.401,0.221
0.367,0.406,0.227
0.364,0.397,0.239
0.369,0.379,0.252
0.371,0.363,0.266
0.378,0.345,0.277
0.379,0.322,0.299
0.377,0.309,0.315
0.372,0.301,0.327
0.364,0.302,0.334
0.358,0.303,0.339
0.360,0.301,0.339
0.361,0.302,0.337
0.362,0.305,0.332
0.362,0.308,0.330
0.367,0.306,0.327
0.374,0.300,0.326
0.380,0.296,0.324
0.384,0.298,0.318
0.383,0.305,0.312
0.379,0.317,0.303
0.370,0.338,0.291
0.358,0.363,0.279
0.347,0.383,0.270
0.338,0.409,0.253
0.351,0.421,0.229
0.388,0.395,0.217
0.418,0.352,0.230
0.430,0.306,0.264
